PollingInstitute;Published;StartCollection;EndCollection;PollYear;PollMonth;PollWeek;Date_numeric;PolicyIndicator;IncumbentParty;Government;GovernmentSupport;SocialdemokraternaS;VänsterpartietV;MiljöpartietMP;ModeraternaM;LiberalernaL;CenterpartietC;KristdemokraternaKD;SverigedemokraternaSD;Övriga partierÖvriga;Unemployment;UnemploymentTrend;HouseholdConsumption;HouseholdConsumptionDetrended;ConsumerPriceIndexFixedInterest;ConsumerPriceIndex;ConsumerConfidence;GovtSearch
Novus;2013-03-28T00:00:00Z;2013-02-25;2013-03-24;2013;Mar 2013;2013-13;15792;8;M FP C KD;M_FP_C_KD2;41,5;32,1;6,3;9,6;28,3;6,2;3,3;3,7;9,1;1,4;8,8;8,1;2,2;2,4;0,9;0,0;99,94197;19
Ipsos;2013-04-01T00:00:00Z;2013-03-07;2013-03-26;2013;Apr 2013;2013-14;15796;8;M FP C KD;M_FP_C_KD2;41,4;34,6;5,5;9,2;28,0;5,6;3,8;4,0;8,0;1,3;8,7;8,1;1,3;2,3;0,5;-0,5;100,08000;16
Demoskop;2013-04-05T00:00:00Z;2013-03-26;2013-04-03;2013;Apr 2013;2013-14;15800;8;M FP C KD;M_FP_C_KD2;41,9;32,7;5,9;9,3;27,4;6,9;4,0;3,6;9,2;1,0;8,7;8,1;1,3;2,3;0,5;-0,5;100,08000;16
YouGov;2013-04-08T00:00:00Z;2013-03-06;2013-04-02;2013;Apr 2013;2013-15;15803;8;M FP C KD;M_FP_C_KD2;41,3;31,9;5,9;8,6;28,4;5,9;2,7;4,3;10,8;1,5;8,7;8,1;1,3;2,3;0,5;-0,5;100,08000;16
Sifo;2013-04-14T00:00:00Z;2013-04-02;2013-04-11;2013;Apr 2013;2013-15;15809;8;M FP C KD;M_FP_C_KD2;40,4;34,4;7,0;8,9;27,9;5,4;3,5;3,6;8,0;1,3;8,7;8,1;1,3;2,3;0,5;-0,5;100,08000;16
Skop;2013-04-17T00:00:00Z;2013-03-26;2013-04-11;2013;Apr 2013;2013-16;15812;8;M FP C KD;M_FP_C_KD2;43,5;32,0;6,3;8,3;30,2;6,6;4,2;2,5;7,4;2,5;8,7;8,1;1,3;2,3;0,5;-0,5;100,08000;16
Sentio;2013-04-20T00:00:00Z;2013-04-10;2013-04-17;2013;Apr 2013;2013-16;15815;8;M FP C KD;M_FP_C_KD2;39,9;31,2;6,3;9,2;27,1;5,1;3,3;4,4;11,5;1,9;8,7;8,1;1,3;2,3;0,5;-0,5;100,08000;16
Inizio;2013-04-22T00:00:00Z;2013-03-18;2013-04-21;2013;Apr 2013;2013-17;15817;8;M FP C KD;M_FP_C_KD2;41,4;31,8;5,8;9,3;26,9;5,9;4,1;4,5;10,1;1,6;8,7;8,1;1,3;2,3;0,5;-0,5;100,08000;16
Novus;2013-04-25T00:00:00Z;2013-03-25;2013-04-21;2013;Apr 2013;2013-17;15820;8;M FP C KD;M_FP_C_KD2;40,8;34,4;6,5;8,6;27,0;6,1;3,7;4,0;8,9;0,8;8,7;8,1;1,3;2,3;0,5;-0,5;100,08000;16
Ipsos;2013-04-28T00:00:00Z;2013-04-04;2013-04-23;2013;Apr 2013;2013-17;15823;8;M FP C KD;M_FP_C_KD2;43,9;33,7;6,0;8,2;29,5;6,6;4,8;3,0;6,7;1,5;8,7;8,1;1,3;2,3;0,5;-0,5;100,08000;16
Demoskop;2013-05-09T00:00:00Z;2013-04-29;2013-05-07;2013;May 2013;2013-19;15834;8;M FP C KD;M_FP_C_KD2;40,8;32,9;5,3;9,2;29,1;5,5;3,3;2,9;9,9;1,9;8,2;8,0;1,6;2,1;0,7;-0,2;100,09980;22
YouGov;2013-05-14T00:00:00Z;2013-04-03;2013-05-07;2013;May 2013;2013-20;15839;8;M FP C KD;M_FP_C_KD2;40,8;30,9;7,8;8,2;27,4;5,4;4,2;3,8;10,9;1,4;8,2;8,0;1,6;2,1;0,7;-0,2;100,09980;22
Sentio;2013-05-14T00:00:00Z;2013-05-02;2013-05-09;2013;May 2013;2013-20;15839;8;M FP C KD;M_FP_C_KD2;38,2;31,6;6,1;8,4;27,2;4,3;2,4;4,3;13,6;2,1;8,2;8,0;1,6;2,1;0,7;-0,2;100,09980;22
Sifo;2013-05-19T00:00:00Z;2013-05-06;2013-05-16;2013;May 2013;2013-20;15844;8;M FP C KD;M_FP_C_KD2;41,6;32,8;7,0;10,9;28,4;6,4;4,1;2,7;6,6;1,1;8,2;8,0;1,6;2,1;0,7;-0,2;100,09980;22
Inizio;2013-05-20T00:00:00Z;2013-04-22;2013-05-19;2013;May 2013;2013-21;15845;8;M FP C KD;M_FP_C_KD2;39,1;32,7;6,8;8,5;26,9;5,4;2,8;4,0;11,0;1,9;8,2;8,0;1,6;2,1;0,7;-0,2;100,09980;22
Skop;2013-05-23T00:00:00Z;2013-04-29;2013-05-16;2013;May 2013;2013-21;15848;8;M FP C KD;M_FP_C_KD2;42,2;34,2;5,4;9,9;28,5;5,8;4,2;3,7;6,6;1,7;8,2;8,0;1,6;2,1;0,7;-0,2;100,09980;22
Novus;2013-05-30T00:00:00Z;2013-04-29;2013-05-26;2013;May 2013;2013-22;15855;8;M FP C KD;M_FP_C_KD2;40,8;33,5;6,9;8,1;27,8;6,3;3,6;3,1;9,2;1,5;8,2;8,0;1,6;2,1;0,7;-0,2;100,09980;22
Ipsos;2013-06-03T00:00:00Z;2013-05-13;2013-05-28;2013;Jun 2013;2013-23;15859;8;M FP C KD;M_FP_C_KD2;42,1;32,1;7,0;10,3;28,9;5,8;3,2;4,2;7,0;1,5;9,1;8,0;2,7;1,9;0,9;-0,1;100,25150;12
SCB;2013-06-04T00:00:00Z;2013-05-02;2013-05-27;2013;Jun 2013;2013-23;15860;8;M FP C KD;M_FP_C_KD2;40,7;35,6;6,4;8,5;26,9;6,0;4,2;3,6;7,7;1,1;9,1;8,0;2,7;1,9;0,9;-0,1;100,25150;12
Demoskop;2013-06-08T00:00:00Z;2013-05-28;2013-06-05;2013;Jun 2013;2013-23;15864;8;M FP C KD;M_FP_C_KD2;38,8;33,5;6,4;10,9;26,6;5,7;3,4;3,1;9,6;0,8;9,1;8,0;2,7;1,9;0,9;-0,1;100,25150;12
YouGov;2013-06-10T00:00:00Z;2013-05-08;2013-06-04;2013;Jun 2013;2013-24;15866;8;M FP C KD;M_FP_C_KD2;39,4;30,5;6,9;10,2;25,3;6,2;4,5;3,4;11,5;1,5;9,1;8,0;2,7;1,9;0,9;-0,1;100,25150;12
Sifo;2013-06-16T00:00:00Z;2013-06-03;2013-06-13;2013;Jun 2013;2013-24;15872;8;M FP C KD;M_FP_C_KD2;42,4;31,0;6,5;11,0;28,3;6,0;4,0;4,1;7,6;1,5;9,1;8,0;2,7;1,9;0,9;-0,1;100,25150;12
Inizio;2013-06-17T00:00:00Z;2013-05-20;2013-06-16;2013;Jun 2013;2013-25;15873;8;M FP C KD;M_FP_C_KD2;39,6;32,0;7,2;8,9;25,8;6,3;3,7;3,8;10,7;1,6;9,1;8,0;2,7;1,9;0,9;-0,1;100,25150;12
Sentio;2013-06-22T00:00:00Z;2013-06-13;2013-06-20;2013;Jun 2013;2013-25;15878;8;M FP C KD;M_FP_C_KD2;40,5;30,0;7,2;7,9;27,1;6,3;2,7;4,4;13,6;0,8;9,1;8,0;2,7;1,9;0,9;-0,1;100,25150;12
Ipsos;2013-06-28T00:00:00Z;2013-06-10;2013-06-25;2013;Jun 2013;2013-26;15884;8;M FP C KD;M_FP_C_KD2;41,3;33,1;6,6;10,5;26,5;6,4;4,1;4,3;7,3;1,2;9,1;8,0;2,7;1,9;0,9;-0,1;100,25150;12
Novus;2013-06-29T00:00:00Z;2013-05-27;2013-06-23;2013;Jun 2013;2013-26;15885;8;M FP C KD;M_FP_C_KD2;40,2;34,4;6,7;8,7;26,6;5,4;3,8;4,4;9,0;1,0;9,1;8,0;2,7;1,9;0,9;-0,1;100,25150;12
Demoskop;2013-07-04T00:00:00Z;2013-06-25;2013-07-03;2013;Jul 2013;2013-27;15890;8;M FP C KD;M_FP_C_KD2;37,1;33,7;7,8;8,9;25,3;5,6;3,2;3,0;11,6;0,9;7,2;8,0;1,3;1,9;1,2;0,1;100,60340;6
Sentio;2013-07-17T00:00:00Z;2013-07-04;2013-07-11;2013;Jul 2013;2013-29;15903;8;M FP C KD;M_FP_C_KD2;38,2;30,5;7,5;9,7;25,0;5,3;3,4;4,5;12,8;1,3;7,2;8,0;1,3;1,9;1,2;0,1;100,60340;6
Novus;2013-08-07T00:00:00Z;2013-07-08;2013-08-04;2013;Aug 2013;2013-32;15924;8;M FP C KD;M_FP_C_KD2;39,5;34,1;6,3;9,7;26,2;5,4;3,9;4,0;9,0;1,4;7,3;8,0;2,1;1,9;1,2;0,1;100,84970;10
YouGov;2013-08-12T00:00:00Z;2013-06-05;2013-07-02;2013;Aug 2013;2013-33;15929;8;M FP C KD;M_FP_C_KD2;39,4;30,9;8,4;9,5;26,5;6,7;3,2;3,0;11,2;0,6;7,3;8,0;2,1;1,9;1,2;0,1;100,84970;10
YouGov;2013-08-12T00:00:00Z;2013-07-03;2013-08-06;2013;Aug 2013;2013-33;15929;8;M FP C KD;M_FP_C_KD2;41,4;30,8;7,4;9,3;28,4;5,4;3,6;4,0;9,9;1,2;7,3;8,0;2,1;1,9;1,2;0,1;100,84970;10
Inizio;2013-08-17T00:00:00Z;2013-07-22;2013-08-15;2013;Aug 2013;2013-33;15934;8;M FP C KD;M_FP_C_KD2;38,5;33,2;6,1;9,1;24,5;4,6;4,9;4,5;11,3;1,8;7,3;8,0;2,1;1,9;1,2;0,1;100,84970;10
Sifo;2013-08-25T00:00:00Z;2013-08-12;2013-08-22;2013;Aug 2013;2013-34;15942;8;M FP C KD;M_FP_C_KD2;40,3;30,5;6,5;10,9;26,6;5,9;4,0;3,8;9,9;1,9;7,3;8,0;2,1;1,9;1,2;0,1;100,84970;10
Sentio;2013-08-26T00:00:00Z;2013-08-15;2013-08-22;2013;Aug 2013;2013-35;15943;8;M FP C KD;M_FP_C_KD2;38,8;29,5;7,3;8,1;25,4;4,5;4,8;4,1;14,6;1,7;7,3;8,0;2,1;1,9;1,2;0,1;100,84970;10
Ipsos;2013-09-02T00:00:00Z;2013-08-08;2013-08-27;2013;Sep 2013;2013-36;15950;8;M FP C KD;M_FP_C_KD2;39,0;34,4;6,9;9,7;25,6;5,8;4,1;3,5;8,4;1,6;7,5;8,0;1,1;1,9;0,9;0,1;101,01080;25
Novus;2013-09-06T00:00:00Z;2013-08-05;2013-09-01;2013;Sep 2013;2013-36;15954;8;M FP C KD;M_FP_C_KD2;40,3;34,3;7,3;8,6;24,6;6,5;4,6;4,6;8,5;1,0;7,5;8,0;1,1;1,9;0,9;0,1;101,01080;25
YouGov;2013-09-09T00:00:00Z;2013-08-07;2013-09-03;2013;Sep 2013;2013-37;15957;8;M FP C KD;M_FP_C_KD2;39,0;30,8;8,2;8,8;25,8;5,3;4,9;3,0;11,4;1,8;7,5;8,0;1,1;1,9;0,9;0,1;101,01080;25
Demoskop;2013-09-09T00:00:00Z;2013-08-27;2013-09-03;2013;Sep 2013;2013-37;15957;8;M FP C KD;M_FP_C_KD2;39,9;31,7;7,1;10,1;25,1;6,6;4,5;3,7;10,1;1,1;7,5;8,0;1,1;1,9;0,9;0,1;101,01080;25
Inizio;2013-09-15T00:00:00Z;2013-08-16;2013-09-15;2013;Sep 2013;2013-37;15963;8;M FP C KD;M_FP_C_KD2;38,2;32,6;6,2;9,4;25,3;5,3;3,4;4,2;12,1;1,5;7,5;8,0;1,1;1,9;0,9;0,1;101,01080;25
Sifo;2013-09-15T00:00:00Z;2013-09-02;2013-09-12;2013;Sep 2013;2013-37;15963;8;M FP C KD;M_FP_C_KD2;39,2;33,5;6,4;10,0;25,7;6,3;3,6;3,6;9,4;1,5;7,5;8,0;1,1;1,9;0,9;0,1;101,01080;25
Skop;2013-09-17T00:00:00Z;2013-08-28;2013-09-12;2013;Sep 2013;2013-38;15965;8;M FP C KD;M_FP_C_KD2;40,7;31,7;6,3;10,8;26,6;6,7;4,2;3,2;9,4;1,1;7,5;8,0;1,1;1,9;0,9;0,1;101,01080;25
Sentio;2013-09-22T00:00:00Z;2013-09-12;2013-09-18;2013;Sep 2013;2013-38;15970;8;M FP C KD;M_FP_C_KD2;39,2;31,7;6,9;8,8;24,7;6,4;4,2;3,9;11,8;1,6;7,5;8,0;1,1;1,9;0,9;0,1;101,01080;25
Ipsos;2013-09-30T00:00:00Z;2013-09-05;2013-09-24;2013;Sep 2013;2013-40;15978;8;M FP C KD;M_FP_C_KD2;38,8;34,4;7,0;10,3;24,7;6,1;3,5;4,5;8,5;1,0;7,5;8,0;1,1;1,9;0,9;0,1;101,01080;25
Novus;2013-10-03T00:00:00Z;2013-09-02;2013-09-29;2013;Oct 2013;2013-40;15981;8;M FP C KD;M_FP_C_KD2;38,8;35,1;6,7;8,3;26,5;4,6;3,4;4,3;10,0;1,1;7,3;8,0;2,5;1,8;0,6;-0,1;101,30790;20
Demoskop;2013-10-04T00:00:00Z;2013-09-24;2013-10-02;2013;Oct 2013;2013-40;15982;8;M FP C KD;M_FP_C_KD2;39,1;33,2;6,6;10,1;26,6;5,2;4,2;3,1;9,9;1,1;7,3;8,0;2,5;1,8;0,6;-0,1;101,30790;20
Sifo;2013-10-13T00:00:00Z;2013-09-30;2013-10-10;2013;Oct 2013;2013-41;15991;8;M FP C KD;M_FP_C_KD2;38,8;35,6;6,4;7,9;25,0;6,0;3,8;4,0;9,7;1,6;7,3;8,0;2,5;1,8;0,6;-0,1;101,30790;20
YouGov;2013-10-14T00:00:00Z;2013-09-04;2013-10-08;2013;Oct 2013;2013-42;15992;8;M FP C KD;M_FP_C_KD2;39,8;31,2;6,7;8,6;25,6;4,7;5,6;3,9;12,9;0,8;7,3;8,0;2,5;1,8;0,6;-0,1;101,30790;20
Inizio;2013-10-14T00:00:00Z;2013-09-16;2013-10-13;2013;Oct 2013;2013-42;15992;8;M FP C KD;M_FP_C_KD2;37,8;33,7;6,2;9,4;23,6;5,0;5,9;3,3;11,1;1,8;7,3;8,0;2,5;1,8;0,6;-0,1;101,30790;20
Sentio;2013-10-26T00:00:00Z;2013-10-10;2013-10-17;2013;Oct 2013;2013-43;16004;8;M FP C KD;M_FP_C_KD2;37,9;29,9;8,1;8,4;25,4;5,2;4,5;2,8;14,1;1,6;7,3;8,0;2,5;1,8;0,6;-0,1;101,30790;20
Novus;2013-10-31T00:00:00Z;2013-09-30;2013-10-27;2013;Oct 2013;2013-44;16009;8;M FP C KD;M_FP_C_KD2;38,7;34,8;6,0;8,8;26,0;5,2;3,0;4,5;10,1;1,6;7,3;8,0;2,5;1,8;0,6;-0,1;101,30790;20
Ipsos;2013-11-02T00:00:00Z;2013-10-10;2013-10-29;2013;Nov 2013;2013-44;16011;8;M FP C KD;M_FP_C_KD2;39,9;34,0;6,3;9,6;27,4;5,3;4,0;3,2;8,5;1,7;7,5;8,0;3,0;1,8;0,7;0,1;101,63800;19
Skop;2013-11-08T00:00:00Z;2013-10-14;2013-11-04;2013;Nov 2013;2013-45;16017;8;M FP C KD;M_FP_C_KD2;38,6;35,2;6,9;8,9;25,6;5,9;3,5;3,6;9,3;1,1;7,5;8,0;3,0;1,8;0,7;0,1;101,63800;19
Demoskop;2013-11-08T00:00:00Z;2013-10-29;2013-11-06;2013;Nov 2013;2013-45;16017;8;M FP C KD;M_FP_C_KD2;37,8;31,1;6,4;11,8;25,6;5,3;3,0;3,9;11,9;1,0;7,5;8,0;3,0;1,8;0,7;0,1;101,63800;19
YouGov;2013-11-11T00:00:00Z;2013-10-10;2013-11-05;2013;Nov 2013;2013-46;16020;8;M FP C KD;M_FP_C_KD2;39,3;32,5;7,5;8,3;25,8;6,0;4,5;3,0;11,3;1,1;7,5;8,0;3,0;1,8;0,7;0,1;101,63800;19
Inizio;2013-11-11T00:00:00Z;2013-10-14;2013-11-10;2013;Nov 2013;2013-46;16020;8;M FP C KD;M_FP_C_KD2;41,0;30,9;7,1;9,6;25,8;6,7;4,1;4,4;10,8;0,6;7,5;8,0;3,0;1,8;0,7;0,1;101,63800;19
Sentio;2013-11-16T00:00:00Z;2013-11-06;2013-11-12;2013;Nov 2013;2013-46;16025;8;M FP C KD;M_FP_C_KD2;38,4;30,9;7,9;9,3;25,9;4,5;3,9;4,1;12,8;0,7;7,5;8,0;3,0;1,8;0,7;0,1;101,63800;19
Sifo;2013-11-17T00:00:00Z;2013-11-04;2013-11-14;2013;Nov 2013;2013-46;16026;8;M FP C KD;M_FP_C_KD2;38,9;34,5;7,3;9,1;25,0;5,9;4,1;3,9;9,0;1,2;7,5;8,0;3,0;1,8;0,7;0,1;101,63800;19
Novus;2013-11-28T00:00:00Z;2013-10-28;2013-11-24;2013;Nov 2013;2013-48;16037;8;M FP C KD;M_FP_C_KD2;39,1;33,9;7,2;9,1;24,2;6,2;4,3;4,4;9,4;1,3;7,5;8,0;3,0;1,8;0,7;0,1;101,63800;19
Ipsos;2013-11-29T00:00:00Z;2013-11-07;2013-11-26;2013;Nov 2013;2013-48;16038;8;M FP C KD;M_FP_C_KD2;39,4;33,4;7,1;10,1;25,3;6,2;4,2;3,7;8,5;1,5;7,5;8,0;3,0;1,8;0,7;0,1;101,63800;19
SCB;2013-12-04T00:00:00Z;2013-11-03;2013-11-27;2013;Dec 2013;2013-49;16043;8;M FP C KD;M_FP_C_KD2;39,7;34,3;6,7;8,8;25,5;5,4;4,7;4,1;9,3;1,2;7,5;8,0;0,2;1,8;0,8;0,1;101,68150;15
Demoskop;2013-12-08T00:00:00Z;2013-11-26;2013-12-04;2013;Dec 2013;2013-49;16047;8;M FP C KD;M_FP_C_KD2;38,1;33,1;8,3;8,3;23,4;7,0;3,5;4,2;10,5;1,7;7,5;8,0;0,2;1,8;0,8;0,1;101,68150;15
YouGov;2013-12-09T00:00:00Z;2013-11-06;2013-12-03;2013;Dec 2013;2013-50;16048;8;M FP C KD;M_FP_C_KD2;36,8;33,1;7,2;9,2;23,8;6,3;3,0;3,7;12,8;0,9;7,5;8,0;0,2;1,8;0,8;0,1;101,68150;15
Inizio;2013-12-09T00:00:00Z;2013-11-11;2013-12-08;2013;Dec 2013;2013-50;16048;8;M FP C KD;M_FP_C_KD2;40,3;32,4;8,0;8,0;24,1;7,6;4,0;4,6;10,0;1,3;7,5;8,0;0,2;1,8;0,8;0,1;101,68150;15
Sentio;2013-12-12T00:00:00Z;2013-12-05;2013-12-11;2013;Dec 2013;2013-50;16051;8;M FP C KD;M_FP_C_KD2;37,5;31,5;7,7;8,3;23,6;5,6;4,6;3,7;13,7;1,3;7,5;8,0;0,2;1,8;0,8;0,1;101,68150;15
Sifo;2013-12-15T00:00:00Z;2013-12-02;2013-12-12;2013;Dec 2013;2013-50;16054;8;M FP C KD;M_FP_C_KD2;38,7;32,5;7,8;11,0;25,2;5,5;4,4;3,6;9,3;0,7;7,5;8,0;0,2;1,8;0,8;0,1;101,68150;15
Novus;2013-12-19T00:00:00Z;2013-11-25;2013-12-15;2013;Dec 2013;2013-51;16058;8;M FP C KD;M_FP_C_KD2;38,5;34,2;6,4;9,3;25,0;5,5;3,9;4,1;10,4;1,2;7,5;8,0;0,2;1,8;0,8;0,1;101,68150;15
Ipsos;2013-12-23T00:00:00Z;2013-11-28;2013-12-17;2013;Dec 2013;2013-52;16062;8;M FP C KD;M_FP_C_KD2;39,2;32,8;7,0;10,6;25,1;5,5;4,8;3,8;8,2;2,2;7,5;8,0;0,2;1,8;0,8;0,1;101,68150;15
Demoskop;2014-01-10T00:00:00Z;2014-01-02;2014-01-08;2014;Jan 2014;2014-02;16080;8;M FP C KD;M_FP_C_KD2;36,2;34,7;6,5;11,1;22,3;5,8;4,5;3,6;9,8;1,7;8,6;8,0;0,9;1,9;0,4;-0,2;101,38070;17
YouGov;2014-01-13T00:00:00Z;2013-12-04;2014-01-07;2014;Jan 2014;2014-03;16083;8;M FP C KD;M_FP_C_KD2;40,9;31,9;7,6;7,9;25,7;5,7;5,2;4,3;10,0;1,7;8,6;8,0;0,9;1,9;0,4;-0,2;101,38070;17
Inizio;2014-01-13T00:00:00Z;2013-12-09;2014-01-12;2014;Jan 2014;2014-03;16083;8;M FP C KD;M_FP_C_KD2;37,9;32,5;8,4;8,9;24,0;6,1;4,5;3,3;10,8;1,5;8,6;8,0;0,9;1,9;0,4;-0,2;101,38070;17
Skop;2014-01-15T00:00:00Z;2013-12-09;2014-01-07;2014;Jan 2014;2014-03;16085;8;M FP C KD;M_FP_C_KD2;41,1;32,7;7,0;9,7;27,2;6,3;4,5;3,1;8,4;1,1;8,6;8,0;0,9;1,9;0,4;-0,2;101,38070;17
Sentio;2014-01-16T00:00:00Z;2014-01-09;2014-01-15;2014;Jan 2014;2014-03;16086;8;M FP C KD;M_FP_C_KD2;36,9;32,6;8,9;7,8;23,7;4,8;4,6;3,8;12,8;1,0;8,6;8,0;0,9;1,9;0,4;-0,2;101,38070;17
Sifo;2014-01-26T00:00:00Z;2014-01-13;2014-01-23;2014;Jan 2014;2014-04;16096;8;M FP C KD;M_FP_C_KD2;38,9;32,9;8,3;9,4;25,4;6,5;3,7;3,3;9,2;1,3;8,6;8,0;0,9;1,9;0,4;-0,2;101,38070;17
Novus;2014-01-30T00:00:00Z;2014-01-06;2014-01-26;2014;Jan 2014;2014-05;16100;8;M FP C KD;M_FP_C_KD2;36,6;33,8;8,1;9,2;24,5;5,1;3,5;3,5;11,0;1,3;8,6;8,0;0,9;1,9;0,4;-0,2;101,38070;17
Ipsos;2014-01-31T00:00:00Z;2014-01-09;2014-01-28;2014;Jan 2014;2014-05;16101;8;M FP C KD;M_FP_C_KD2;37,9;34,0;9,1;9,9;25,0;6,4;3,1;3,4;7,3;1,8;8,6;8,0;0,9;1,9;0,4;-0,2;101,38070;17
YouGov;2014-02-10T00:00:00Z;2014-01-08;2014-02-04;2014;Feb 2014;2014-07;16111;8;M FP C KD;M_FP_C_KD2;38,9;32,3;9,3;8,0;25,0;6,0;4,4;3,5;10,3;1,2;8,5;8,0;2,0;2,2;0,4;-0,2;101,01810;15
Inizio;2014-02-10T00:00:00Z;2014-01-13;2014-02-09;2014;Feb 2014;2014-07;16111;8;M FP C KD;M_FP_C_KD2;36,8;31,2;8,2;10,2;21,6;7,0;3,8;4,4;11,2;2,4;8,5;8,0;2,0;2,2;0,4;-0,2;101,01810;15
Demoskop;2014-02-10T00:00:00Z;2014-01-28;2014-02-05;2014;Feb 2014;2014-07;16111;8;M FP C KD;M_FP_C_KD2;38,2;34,5;7,3;9,6;24,9;5,0;4,3;4,0;8,8;1,6;8,5;8,0;2,0;2,2;0,4;-0,2;101,01810;15
Sentio;2014-02-12T00:00:00Z;2014-02-06;2014-02-11;2014;Feb 2014;2014-07;16113;8;M FP C KD;M_FP_C_KD2;36,6;32,4;8,7;7,6;22,5;5,3;5,1;3,7;13,3;1,4;8,5;8,0;2,0;2,2;0,4;-0,2;101,01810;15
Sifo;2014-02-18T00:00:00Z;2014-02-03;2014-02-13;2014;Feb 2014;2014-08;16119;8;M FP C KD;M_FP_C_KD2;36,0;34,9;8,2;9,7;22,8;6,7;2,8;3,7;9,5;1,7;8,5;8,0;2,0;2,2;0,4;-0,2;101,01810;15
Novus;2014-02-27T00:00:00Z;2014-01-27;2014-02-23;2014;Feb 2014;2014-09;16128;8;M FP C KD;M_FP_C_KD2;38,4;33,3;8,4;9,7;25,7;4,7;4,2;3,8;8,7;1,5;8,5;8,0;2,0;2,2;0,4;-0,2;101,01810;15
Ipsos;2014-03-01T00:00:00Z;2014-02-06;2014-02-25;2014;Mar 2014;2014-09;16130;8;M FP C KD;M_FP_C_KD2;37,7;35,1;7,9;9,0;24,7;6,0;3,5;3,5;7,9;2,4;8,6;8,0;3,0;2,4;0,0;-0,6;100,78880;19
Skop;2014-03-05T00:00:00Z;2014-02-09;2014-03-04;2014;Mar 2014;2014-10;16134;8;M FP C KD;M_FP_C_KD2;38,3;33,8;8,0;9,9;26,5;4,6;4,1;3,1;8,2;1,8;8,6;8,0;3,0;2,4;0,0;-0,6;100,78880;19
Demoskop;2014-03-07T00:00:00Z;2014-02-25;2014-03-05;2014;Mar 2014;2014-10;16136;8;M FP C KD;M_FP_C_KD2;34,6;32,7;8,4;12,5;22,6;5,1;3,6;3,3;10,0;1,8;8,6;8,0;3,0;2,4;0,0;-0,6;100,78880;19
YouGov;2014-03-10T00:00:00Z;2014-02-05;2014-03-04;2014;Mar 2014;2014-11;16139;8;M FP C KD;M_FP_C_KD2;37,4;33,0;8,3;8,6;23,7;5,2;4,6;3,9;11,5;1,2;8,6;8,0;3,0;2,4;0,0;-0,6;100,78880;19
Inizio;2014-03-10T00:00:00Z;2014-02-10;2014-03-09;2014;Mar 2014;2014-11;16139;8;M FP C KD;M_FP_C_KD2;37,7;33,0;7,0;10,4;22,7;6,7;4,8;3,5;9,4;2,5;8,6;8,0;3,0;2,4;0,0;-0,6;100,78880;19
Sifo;2014-03-16T00:00:00Z;2014-03-03;2014-03-13;2014;Mar 2014;2014-11;16145;8;M FP C KD;M_FP_C_KD2;39,0;34,1;6,3;10,1;24,2;5,4;4,7;4,7;8,0;2,5;8,6;8,0;3,0;2,4;0,0;-0,6;100,78880;19
Sentio;2014-03-19T00:00:00Z;2014-03-06;2014-03-13;2014;Mar 2014;2014-12;16148;8;M FP C KD;M_FP_C_KD2;34,5;33,2;9,1;8,3;22,7;5,1;4,0;2,7;13,1;1,8;8,6;8,0;3,0;2,4;0,0;-0,6;100,78880;19
Novus;2014-03-27T00:00:00Z;2014-02-24;2014-03-23;2014;Mar 2014;2014-13;16156;8;M FP C KD;M_FP_C_KD2;38,9;34,3;6,5;9,2;25,1;6,3;3,6;3,9;9,3;1,8;8,6;8,0;3,0;2,4;0,0;-0,6;100,78880;19
Ipsos;2014-03-28T00:00:00Z;2014-03-06;2014-03-25;2014;Mar 2014;2014-13;16157;8;M FP C KD;M_FP_C_KD2;38,3;33,5;7,6;10,4;23,6;6,9;4,1;3,7;7,8;2,4;8,6;8,0;3,0;2,4;0,0;-0,6;100,78880;19
Demoskop;2014-04-05T00:00:00Z;2014-03-25;2014-04-03;2014;Apr 2014;2014-14;16165;8;M FP C KD;M_FP_C_KD2;37,3;33,0;8,2;10,7;24,0;5,9;3,7;3,7;8,5;2,3;8,7;8,0;4,5;2,7;0,5;0,0;100,75840;21
Inizio;2014-04-07T00:00:00Z;2014-03-10;2014-04-06;2014;Apr 2014;2014-15;16167;8;M FP C KD;M_FP_C_KD2;36,6;33,4;7,3;9,2;22,4;6,3;4,4;3,5;10,7;2,8;8,7;8,0;4,5;2,7;0,5;0,0;100,75840;21
Sifo;2014-04-13T00:00:00Z;2014-03-31;2014-04-10;2014;Apr 2014;2014-15;16173;8;M FP C KD;M_FP_C_KD2;38,6;32,1;8,4;10,6;24,5;6,7;3,8;3,6;8,3;2,0;8,7;8,0;4,5;2,7;0,5;0,0;100,75840;21
YouGov;2014-04-14T00:00:00Z;2014-03-05;2014-04-08;2014;Apr 2014;2014-16;16174;8;M FP C KD;M_FP_C_KD2;36,4;33,0;8,1;8,4;23,3;5,0;4,3;3,8;11,4;2,7;8,7;8,0;4,5;2,7;0,5;0,0;100,75840;21
Sentio;2014-04-23T00:00:00Z;2014-04-09;2014-04-16;2014;Apr 2014;2014-17;16183;8;M FP C KD;M_FP_C_KD2;36,8;34,2;8,8;8,3;21,9;7,1;3,9;3,9;10,9;1,0;8,7;8,0;4,5;2,7;0,5;0,0;100,75840;21
